"来源","区块/页面","key","中文","English","备注"
"i18n","assessment","assessment.gateHint","學號用於記錄你的測評結果，方便課堂統計。請使用同一台設備、同一個瀏覽器，不要清除緩存。","Your student ID records your assessment result for class statistics. Use the same device and browser, and do not clear your cache.",""
"i18n","assessment","assessment.gatePlaceholder","例如 17094905G","e.g. 17094905G",""
"i18n","assessment","assessment.idLenHint","學號需為 9 位（如 17094905G，大小寫不限）","Student ID must be 9 characters (e.g. 17094905G, case-insensitive)",""
"i18n","assessment","assessment.gateStart","開始測評","Start Assessment",""
"i18n","assessment","assessment.gateChecking","檢查中…","Checking…",""
"i18n","assessment","assessment.dupWarn","此學號已有記錄（曾完成測評或手動填分）。若繼續並完成本次測評，將以這次結果為準（覆蓋舊記錄）；中途離開不算覆蓋。確定是你本人、要重做請再按一次。","This student ID already has a record (a completed assessment or manual scores). If you continue and finish this assessment, this attempt becomes the record (overwriting the old one); leaving midway does not overwrite. If it is really you and want to redo it, press once more.",""
"i18n","assessment","assessment.dupConfirm","確認重複，仍然開始","Use it anyway",""
"i18n","assessment","assessment.backHome","回到主頁","Back to Home",""
"i18n","assessment","assessment.studentLabel","學號","Student ID",""
"i18n","assessment","assessment.changeStudent","更換","Change",""
"i18n","assessment","assessment.loading","加載中…","Loading…",""
"i18n","assessment","assessment.skipToManual","跳過測評，手動輸入分數","Skip the test, enter scores manually",""
"i18n","assessment","assessment.backToAssess","返回測評","Back to test",""
"i18n","assessment","assessment.manualTitle","手動錄入人格刻度","Manually Enter Personality Scores",""
"i18n","assessment","assessment.manualConfirm","確認分數，進入遊戲","Confirm Scores, Enter Game",""
"i18n","assessment","assessment.prev","上一題","Previous",""
"i18n","assessment","assessment.next","下一題","Next",""
"i18n","assessment","assessment.navTitle","題目導航","Question Map",""
"i18n","assessment","assessment.answered（合并）","{N} 已作答","{N} answered","🧩 已合并整句：由 assessment.answeredSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","assessment","assessment.legendAnswered","已答","Answered",""
"i18n","assessment","assessment.legendUnanswered","未答","Unanswered",""
"i18n","assessment","assessment.legendCurrent","當前","Current",""
"i18n","assessment","assessment.arcanaPrompt","Arcana Prompt","Arcana Prompt",""
"i18n","assessment","assessment.likert[0]","非常不貼切","Very Inaccurate",""
"i18n","assessment","assessment.likert[1]","有些不貼切","Moderately Inaccurate",""
"i18n","assessment","assessment.likert[2]","普通","Neither Accurate Nor Inaccurate",""
"i18n","assessment","assessment.likert[3]","有些貼切","Moderately Accurate",""
"i18n","assessment","assessment.likert[4]","非常貼切","Very Accurate",""
"i18n","assessment","assessment.progress（合并）","當前正在抽取 {維度} 維度的人格線索。","Currently drawing clues for the {dimension} dimension.","🧩 已合并整句：由 assessment.progressPrefix + assessment.progressSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.hostOfflineNoResume","房主似乎不在線，無法恢復遊戲","The host appears offline — the game cannot be resumed",""
"i18n","game","game.leaveRoomReturnLobby","離開此房間並返回大廳","Leave this room and return to lobby",""
"i18n","game","game.justReturnLobby","僅返回大廳","Just return to lobby",""
"i18n","game","game.waitingToStart","等待遊戲開始…","Waiting for the game to start…",""
"i18n","game","game.returnLobby","返回大廳","Return to lobby",""
"i18n","game","game.leaveGame","← 退出對局","← Leave",""
"i18n","game","game.roomTitle（合并）","人格麻將 · 聯機房 {房間碼}","Personalities Mahjong · Room {code}","🧩 已合并整句：由 game.roomTitlePrefix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.exitConfirmTitle","確認退出本局？","Leave this game?",""
"i18n","game","game.exitConfirmBody1","退出後本局進度將丟失，且無法恢復。","Your progress this game will be lost and cannot be recovered.",""
"i18n","game","game.exitConfirmBody2","桌上其他玩家會繼續對局，少一人繼續打到分出勝負。","The other players keep playing, one short, until someone wins.",""
"i18n","game","game.exitConfirmBody3","若只剩 1 人，對局立即結束、剩下的玩家獲勝。","If only 1 player remains, the game ends immediately and they win.",""
"i18n","game","game.cancel","取消","Cancel",""
"i18n","game","game.confirmExit","確認退出","Leave Game",""
"i18n","game","game.hostOfflinePaused","⚠ 房主短暫離線 — 操作已暫停，3 分鐘內未回則房間解散","⚠ Host briefly offline — actions paused; room dissolves if they don’t return within 3 min",""
"i18n","game","game.idleYourTurn","⏰ 請注意：現在是你的回合","⏰ Heads up: it’s your turn",""
"i18n","game","game.stolenToast","⚡ 本輪已被搶 — 別人先碰到了","⚡ Claimed first — someone ponged before you",""
"i18n","game","game.youWin","你贏了！","You win!",""
"i18n","game","game.winShort","獲勝","wins",""
"i18n","game","game.wonAllDims","成功歸檔了所有人格維度！","declared all personality dimensions!",""
"i18n","game","game.roundEndRank","回合結束！按歸檔進度和剩餘手牌排名","Round over! Ranked by declared progress and remaining cards",""
"i18n","game","game.opponent","對手","Opponent",""
"i18n","game","game.win（合并）","{玩家名} 贏了","{name} wins","🧩 已合并整句：由 game.winSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.declaredLine（合并）","申報 {N} 組 · 剩餘 {M} 張","Declared {N} sets · left {M} cards","🧩 已合并整句：由 game.declaredPrefix + game.declaredSuffix + game.remainingPrefix + game.cardsUnit 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.playAgain","再來一局","Play Again",""
"i18n","game","game.backHome","返回首頁","Back to Home",""
"i18n","game","game.penaltyLockoutFull","你被罰停一回合 — 下次輪到你時自動跳過，期間無法參與碰/食胡","Penalized one turn — your next turn is auto-skipped; you cannot pong/win during it",""
"i18n","game","game.penaltyLockoutShort","罰停一回合 · 輪到你時跳過 · 不可碰/胡","Penalized 1 turn · skipped · no pong/win",""
"i18n","game","game.thawFull","解凍輪 — 正常出牌一次即可解除罰停（期間仍不可碰/胡）","Thaw turn — discard once normally to clear the penalty (still no pong/win)",""
"i18n","game","game.thawShort","解凍輪 · 出牌一次解除","Thaw turn · discard once to clear",""
"i18n","game","game.toastHuWin","食胡！你贏了！","Win! You win!",""
"i18n","game","game.toastHuFail","食胡失敗！手牌公開，罰停一回合","Win failed! Hand revealed, frozen for one turn",""
"i18n","game","game.toastSelfPong（合并）","自摸碰！{維度} 完成！","Self-draw Pong! {dimension} done!","🧩 已合并整句：由 game.toastSelfPongPrefix + game.toastDoneSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.toastPong（合并）","碰！{維度} 完成！","Pong! {dimension} done!","🧩 已合并整句：由 game.toastPongPrefix + game.toastDoneSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.toastSelfPongFail","自摸碰失敗！手牌公開，跳過下輪","Self-draw Pong failed! Hand revealed, next turn skipped",""
"i18n","game","game.toastPongDupe","重複碰！該維度已歸檔，手牌公開，跳過下輪","Duplicate pong! Dimension already declared, hand revealed, next turn skipped",""
"i18n","game","game.toastPongFail","碰失敗！手牌公開，跳過下輪","Pong failed! Hand revealed, next turn skipped",""
"i18n","game","game.exitConfirmBodySingle","確認後將直接結束本局並回到大廳。","After confirming, the game ends and you return to the lobby.",""
"i18n","game","game.done","完成","Done",""
"i18n","game","game.roundMobile（合并）","第 {N}/{M} 輪","Round {N}/{M}","🧩 已合并整句：由 game.roundUnit 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.yourTurnShort","輪到你","Your turn",""
"i18n","game","game.turn（合并）","{玩家名} 中（對方回合進行中）","{name}（EN 無後綴）","🧩 已合并整句：由 game.turnSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.archiveCount","歸檔","Archive",""
"i18n","game","game.persona","人格","Traits",""
"i18n","game","game.archive","歸檔","Archive",""
"i18n","game","game.log","記錄","Log",""
"i18n","game","game.discardedACard","棄了一張牌 — 選擇行動","discarded a card — choose an action",""
"i18n","game","game.firstComeFirst","先點先得","First click wins",""
"i18n","game","game.discardedCardLabel","被棄的牌","Discarded card",""
"i18n","game","game.claimHint1","選出與棄牌同一人格的手牌後點「碰」","Pick hand cards of the same trait as the discard, then tap Pong",""
"i18n","game","game.claimHint2","總張數要達到該維度要求","Total count must meet that dimension’s target",""
"i18n","game","game.claimHint3","混入其他人格牌會受罰","Mixing in other traits is penalized",""
"i18n","game","game.submittedWaiting","已提交，等待結算…","Submitted, awaiting resolution…",""
"i18n","game","game.pass","過","Pass",""
"i18n","game","game.pong","碰！","Pong!",""
"i18n","game","game.pongNeedSelect","請先點擊手牌選擇同維度卡再碰","Tap hand cards of the same dimension first, then pong",""
"i18n","game","game.selectFirst","請先選牌","select cards first",""
"i18n","game","game.win","食胡","Win",""
"i18n","game","game.clickToDraw","點擊牌堆抽一張牌","Tap the draw pile to draw a card",""
"i18n","game","game.pongDoneDiscard","碰牌成功 — 請直接出一張手牌","Pong successful — discard a card now",""
"i18n","game","game.dropHere","丟這裡","Drop here",""
"i18n","game","game.tapCardToDiscard","點一張手牌丟出","Tap a card to discard",""
"i18n","game","game.viewTwoCards","查看 2 張牌","View 2 cards",""
"i18n","game","game.viewCardsTitle","本回合可查看 2 張自己的手牌的人格","This turn you may reveal the traits of 2 of your own cards",""
"i18n","game","game.viewUsed","本回合查看已用","View used this turn",""
"i18n","game","game.selfPong","自摸碰","Self-Pong",""
"i18n","game","game.selfPongFrozen","罰停中，本輪無法自摸碰","Penalized — cannot self-pong this turn",""
"i18n","game","game.selfPongUsed","本回合自摸碰已用，下回合再來","Self-pong used this turn, try next turn",""
"i18n","game","game.selfPongHint","自摸碰 · 你自己判斷維度和張數","Self-pong · you decide the dimension and count",""
"i18n","game","game.pongIntentSelf","🎯 自摸碰","🎯 Self-Pong",""
"i18n","game","game.pongIntentOther","🎯 碰對方棄牌","🎯 Pong Discard",""
"i18n","game","game.pongSelectPrompt","請精確選擇","Select exactly",""
"i18n","game","game.pongSelectSelfSuffix","同維度牌（含剛抽到的）","cards of this dimension (incl. the one just drawn)","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.pongSelectOtherPrefixA","同維度手牌（連同棄牌共湊 ","hand cards of this dimension (with the discard, totaling ",""
"i18n","game","game.pongSelectOtherPrefixB"," 張）",")",""
"i18n","game","game.selected（合并）","已選 {N}","selected {N}","🧩 已合并整句：由 game.selectedPrefix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.declaredWarn","⚠️ 已歸檔維度 · 提交將判失敗 + 罰停","⚠️ Already-archived dimension · submitting fails + penalty",""
"i18n","game","game.selfArchive","自摸歸檔","Self-Archive",""
"i18n","game","game.archiveJudge","歸檔判定","Archive",""
"i18n","game","game.viewPickPrompt","選 2 張你想要查看的手牌","Pick 2 hand cards you want to view",""
"i18n","game","game.view","查看","View",""
"i18n","game","game.roundDesktop（合并）","第 {N} / {M} 輪","Round {N} / {M}","🧩 已合并整句：由 game.roundWord 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.turnOf","的回合","’s turn",""
"i18n","game","game.yourTurnNow","輪到你了","Your turn",""
"i18n","game","game.sheetPersonaTitle","人格刻度","Personality Scale",""
"i18n","game","game.sheetDeclaredTitle","已歸檔人格","Archived Traits",""
"i18n","game","game.sheetLogTitle","行動記錄","Action Log",""
"i18n","game","game.noArchiveYet","暫時還沒有完成歸檔的維度。","No dimensions archived yet.",""
"i18n","game","game.scoreLabel","分數","Score",""
"i18n","game","game.doneLabel","已完成","Done",""
"i18n","game","game.target（合并）","目標 {N} 張","Target {N} cards","🧩 已合并整句：由 game.targetPrefix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.thinking","思考中","thinking",""
"i18n","game","game.archivePublic","檔案公開","file open",""
"i18n","game","game.leftGame","已退出","left",""
"i18n","game","game.offline","離線中","Offline",""
"i18n","game","game.offlineFull","離線中（3 分鐘內未回則離場）","Offline",""
"i18n","game","game.leftGameBadge","已退出對局","Left the game",""
"i18n","game","game.penaltyBadge","罰停中","Penalized",""
"i18n","game","game.revealedFullTitle","公開檔案 · 全手牌","Open File · Full Hand",""
"i18n","game","game.revealedSubsetTitle","判定樣本 · 失敗的碰","Judged Sample · Failed Pong",""
"i18n","game","game.viewPublicFile","查看公開檔案","View open file",""
"i18n","game","game.viewSample","查看判定樣本","View judged sample",""
"i18n","game","game.noCardsToShow","暫無可顯示的牌","No cards to show",""
"i18n","game","game.totalCards","共","total",""
"i18n","game","game.close","關閉","Close",""
"i18n","game","game.archiveOf","的歸檔","’s archive",""
"i18n","game","game.archiveRecord","歸檔記錄","Archive Record",""
"i18n","game","game.noArchiveDone","暫無完成的歸檔","No completed archives",""
"i18n","game","game.cardDetail","卡牌詳情","Card Detail",""
"i18n","game","game.personaDesc","人格描述","Personality description",""
"i18n","game","game.noPublicArchive","暫無公開歸檔","No public archive",""
"i18n","game","game.viewWord","查看","View","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.archiveWord","歸檔","Archive","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.viewDiscardPile","查看棄牌堆","View discard pile",""
"i18n","game","game.discardPileName","棄牌堆","Discard Pile",""
"i18n","game","game.discardedCount","已棄","Discarded",""
"i18n","game","game.discardPileTitle","棄牌堆 · 共","Discard Pile · ",""
"i18n","game","game.newestOnTop","（最新在上）","(newest on top)",""
"i18n","game","game.noDiscards","暫無棄牌","No discards yet",""
"i18n","game","game.unknownPlayer","未知玩家","Unknown player",""
"i18n","game","game.pickDiscard","先圈定一張要捨棄的線索牌","First pick a clue card to discard",""
"i18n","game","game.confirmDiscardHint","點「提交棄牌」確認（再次點擊該牌可取消選中）","Tap “Discard” to confirm (tap the card again to deselect)",""
"i18n","game","game.submitDiscard","提交棄牌","Discard",""
"i18n","game","game.selectSameDim","選出你認爲屬於同一人格線索的牌","Pick the cards you believe share the same personality clue",""
"i18n","game","game.pickViewHand","選出 2 張你想要查看的手牌","Pick 2 hand cards you want to view",""
"i18n","game","game.newDraw","新抽","NEW",""
"i18n","game","game.ago","前","ago",""
"i18n","game","game.playerWord","玩家","Player","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.popPong","碰！+","Pong! +",""
"i18n","game","game.popHu","🏆 食胡！","🏆 Win!",""
"i18n","game","game.popHuFail","💥 食胡失敗","💥 Win failed",""
"i18n","game","game.popPongDupe","💥 重複碰","💥 Duplicate pong",""
"i18n","game","game.popPongFail","💥 碰失敗","💥 Pong failed",""
"i18n","game","game.yourTurnBanner","輪到你了！","Your turn!",""
"i18n","game","game.scoreBoard","計分板","Scoreboard",""
"i18n","game","game.roundOf","輪","Round",""
"i18n","game","game.pongPanelTitle","心理判讀窗口","Psychological Read Window",""
"i18n","game","game.pongClueDiscarded","棄出了這張線索牌","discarded this clue card",""
"i18n","game","game.pongSampleLabel","棄牌樣本","Discard sample",""
"i18n","game","game.pongCanClaim","你可以嘗試據此完成一組人格歸檔。","You may try to complete a personality archive from this.",""
"i18n","game","game.pongTip1","只選你判斷爲同一人格描述的手牌","Pick only the hand cards you judge to share the same personality",""
"i18n","game","game.pongTip2","總張數要達到你的該維度要求","The total count must meet your target for that dimension",""
"i18n","game","game.pongTip3","混入其他人格牌會受罰","Mixing in other traits is penalized",""
"i18n","game","game.pongCannotClaim","你暫時無法用這張牌完成歸檔。","You cannot complete an archive with this card yet.",""
"i18n","game","game.pongSelectedCandidates","張候選牌","candidate cards",""
"i18n","game","game.pongSkip","暫不歸檔","Not now",""
"i18n","game","game.pongSelectFirst","請先點擊手牌選擇同維度卡","Tap hand cards of the same dimension first",""
"i18n","game","game.archiveNote","檔案註記","Knowledge card",""
"i18n","game","game.knowledgeCard","知識牌","Knowledge card",""
"i18n","game","game.logDrew","摸了一張牌","drew a card",""
"i18n","game","game.logDiscardedNote","棄掉了檔案註記","discarded a knowledge card",""
"i18n","game","game.logDiscardedClue","棄掉了一張線索牌","discarded a clue card",""
"i18n","game","game.logDiscardedCard","棄了一張牌","discarded a card",""
"i18n","game","game.logPenaltyCleared","✅ 罰停解除","✅ Penalty cleared",""
"i18n","game","game.logHuSuccess","食胡！遊戲結束","Win! Game over",""
"i18n","game","game.logHuFailPrefix","食胡失敗！手牌公開","Win failed! Hand revealed","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.logHuFailDetail","罰停一回合","frozen for one turn",""
"i18n","game","game.logPongSuccessPrefix","碰牌成功","Pong successful","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.logCardsUnit","張","cards","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.logPongFailPrefix","碰牌失敗！手牌公開","Pong failed! Hand revealed","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","game","game.logPongFailDupe","該維度已歸檔（重複碰）","dimension already declared (duplicate pong)",""
"i18n","game","game.logPongFailWrong","牌不對 / 張數不夠","wrong cards / not enough",""
"i18n","game","game.logPongFailPenalty","罰停一回合","frozen for one turn",""
"i18n","game","game.logSkip","⛔ 因罰停 · 本回合被自動跳過","⛔ Penalized · turn auto-skipped",""
"i18n","game","game.logNoActions","暫無線索流動","No clues flowing yet",""
"i18n","game","game.logViewAll","查看全部","View all",""
"i18n","game","game.logFullTitle（合并）","行動記錄 · 共 {N} 條","Action log · {N} total","🧩 已合并整句：由 game.logFullTitlePrefix + game.logFullTitleSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.logRound（合并）","第 {N} 輪","Round {N}","🧩 已合并整句：由 game.logRoundPrefix + game.logRoundSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","game","game.loadingShort","加載中…","Loading…",""
"i18n","game","game.clickToRun","點擊執行","click to run",""
"i18n","game","game.justDrawn","剛抽到","Just drawn",""
"i18n","game","game.yourHand","你的手牌","Your hand",""
"i18n","game","game.playCard","打出","Discard",""
"i18n","game","game.huCard","胡牌","Win",""
"i18n","pvpLobby","pvpLobby.loading","加載中…","Loading…",""
"i18n","pvpLobby","pvpLobby.backHome","← 返回首頁","← Back to Home",""
"i18n","pvpLobby","pvpLobby.title","聯機對戰","Play Online",""
"i18n","pvpLobby","pvpLobby.intro","創建房間或輸入房間碼加入，與真實玩家同桌博弈。","Create a room or enter a room code to play with real players.",""
"i18n","pvpLobby","pvpLobby.stillInRoom（合并）","你還在房間 {房間碼} …","You are still in room {code} …","🧩 已合并整句：由 pvpLobby.stillInRoomPrefix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","pvpLobby","pvpLobby.stillInRoomMid"," 中","",""
"i18n","pvpLobby","pvpLobby.roomPlaying","（遊戲進行中）"," (in progress)",""
"i18n","pvpLobby","pvpLobby.roomWaiting","（等待中）"," (waiting)",""
"i18n","pvpLobby","pvpLobby.returnRoom","返回房間","Return to Room",""
"i18n","pvpLobby","pvpLobby.leaveRoom","離開房間","Leave Room",""
"i18n","pvpLobby","pvpLobby.playerInfo","玩家信息","Player Info",""
"i18n","pvpLobby","pvpLobby.studentIdPlaceholder","請輸入學號","Enter your student ID",""
"i18n","pvpLobby","pvpLobby.studentIdConfirmPlaceholder","再次輸入學號確認","Re-enter student ID",""
"i18n","pvpLobby","pvpLobby.idMismatch","兩次輸入的學號不一致","The two student IDs do not match",""
"i18n","pvpLobby","pvpLobby.assessDone","已完成人格測評","Assessment completed",""
"i18n","pvpLobby","pvpLobby.studentLabel","學號","ID",""
"i18n","pvpLobby","pvpLobby.assessUndone","未完成測評 · 將使用隨機人格數據","Not assessed · random personality will be used",""
"i18n","pvpLobby","pvpLobby.fullAssess（合并）","完整測評（{N} 題）","Full Test ({N} Q)","🧩 已合并整句：由 pvpLobby.fullAssessPrefix + pvpLobby.fullAssessSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","pvpLobby","pvpLobby.manualInput","手動輸入分數","Enter scores manually",""
"i18n","pvpLobby","pvpLobby.bigFiveRange","Big Five 分數 · 1.0 – 5.0","Big Five · 1.0 – 5.0",""
"i18n","pvpLobby","pvpLobby.confirmScores","確認分數","Confirm Scores",""
"i18n","pvpLobby","pvpLobby.dupConfirm","確認重複，仍然提交","Submit anyway",""
"i18n","pvpLobby","pvpLobby.manualRecordWarn","此學號已有記錄。若繼續提交，將以這次手動分數為準（覆蓋舊記錄）；不提交則不覆蓋。確定要覆蓋請再按一次。","This student ID already has a record. Submitting will make these manual scores the record (overwriting the old one); not submitting does not overwrite. Press once more to overwrite.",""
"i18n","pvpLobby","pvpLobby.deckHeader","人格牌堆","Personality Deck",""
"i18n","pvpLobby","pvpLobby.comingSoon","即將上線","Coming soon",""
"i18n","pvpLobby","pvpLobby.maxPlayers","最多玩家數","Max Players",""
"i18n","pvpLobby","pvpLobby.playerUnit"," 人","P","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","pvpLobby","pvpLobby.rounds","遊戲輪數","Rounds",""
"i18n","pvpLobby","pvpLobby.creating","創建中…","Creating…",""
"i18n","pvpLobby","pvpLobby.joining","加入中…","Joining…",""
"i18n","pvpLobby","pvpLobby.code4","4 位房間碼","4-digit Room Code",""
"i18n","pvpLobby","pvpLobby.tabCreate","創建房間","Create Room",""
"i18n","pvpLobby","pvpLobby.tabJoin","加入房間","Join Room",""
"i18n","pvpLobby","pvpLobby.enterStudentId","請輸入學號","Please enter your student ID",""
"i18n","pvpLobby","pvpLobby.idLen","學號需為 9 位（大小寫不限）","Student ID must be 9 characters (case-insensitive)",""
"i18n","pvpLobby","pvpLobby.enter4Code","請輸入 4 位房間碼","Please enter a 4-digit room code",""
"i18n","pvpLobby","pvpLobby.createFailed","創建失敗","Failed to create room",""
"i18n","pvpLobby","pvpLobby.joinFailed","加入失敗","Failed to join room",""
"i18n","pvpLobby","pvpLobby.deckBigFiveSub","五因素人格 · OCEAN","Five-Factor · OCEAN",""
"i18n","pvpLobby","pvpLobby.deckHexacoSub","六因素人格 · 含誠信維度","Six-Factor · with Honesty",""
"i18n","pvpLobby","pvpLobby.deckCpaiName","中國人格 CPAI","Chinese Personality (CPAI)",""
"i18n","pvpLobby","pvpLobby.deckCpaiSub","本土化人格量表","Localized inventory",""
"i18n","pvpLobby","pvpLobby.alreadyInRoomA","學號「","Student ID """,""
"i18n","pvpLobby","pvpLobby.alreadyInRoomB","」已在房間 ",""" is already in room ",""
"i18n","pvpLobby","pvpLobby.alreadyInRoomC"," 中（"," (",""
"i18n","pvpLobby","pvpLobby.alreadyInRoomD","）。請換一個學號或先讓對方退出。","). Use another ID, or have them leave first.",""
"i18n","pvpLobby","pvpLobby.playingWord","遊戲中","playing","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","pvpLobby","pvpLobby.waitingWord","等待中","waiting","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","pvpRoom","pvpRoom.roomNotExist","房間不存在","Room not found",""
"i18n","pvpRoom","pvpRoom.loadFailed","加載失敗","Failed to load",""
"i18n","pvpRoom","pvpRoom.loadingRoom","加載房間…","Loading room…",""
"i18n","pvpRoom","pvpRoom.backLobby","返回大廳","Back to Lobby",""
"i18n","pvpRoom","pvpRoom.shareHint","分享給朋友，一起加入這局心理博弈。","Share with friends to join this game of minds together.",""
"i18n","pvpRoom","pvpRoom.playersLabel","玩家","Players",""
"i18n","pvpRoom","pvpRoom.leaveRoom","離開房間","Leave Room",""
"i18n","pvpRoom","pvpRoom.unknownPlayer","未知玩家","Unknown player",""
"i18n","pvpRoom","pvpRoom.host","房主","Host",""
"i18n","pvpRoom","pvpRoom.me","我","Me",""
"i18n","pvpRoom","pvpRoom.assessedTrue","已完成測評 ✓","Assessed ✓",""
"i18n","pvpRoom","pvpRoom.assessedFalse","未完成測評","Not assessed",""
"i18n","pvpRoom","pvpRoom.kick","踢出","Kick",""
"i18n","pvpRoom","pvpRoom.waitingJoin","等待加入…","Waiting to join…",""
"i18n","pvpRoom","pvpRoom.roomSettings","房間設置","Room Settings",""
"i18n","pvpRoom","pvpRoom.maxPlayers","最多玩家數","Max Players",""
"i18n","pvpRoom","pvpRoom.playerUnit"," 人","P","⚠ 片段：运行时与数字/其它词拼接成整句，勿单独翻译"
"i18n","pvpRoom","pvpRoom.rounds","遊戲輪數","Rounds",""
"i18n","pvpRoom","pvpRoom.starting","啓動中…","Starting…",""
"i18n","pvpRoom","pvpRoom.startGame","開始遊戲","Start Game",""
